iter	Passed	Remaining
1645	9292	7643
1646	9298	7638
1647	9304	7633
1648	9310	7628
1649	9317	7623
1650	9324	7618
1651	9330	7613
1652	9336	7608
1653	9342	7603
1654	9349	7597
1655	9355	7592
1656	9361	7587
1657	9367	7581
1658	9373	7576
1659	9379	7571
1660	9385	7565
1661	9391	7560
1662	9397	7555
1663	9403	7549
1664	9409	7544
1665	9415	7538
1666	9421	7533
1667	9427	7528
1668	9433	7523
1669	9440	7518
1670	9446	7512
1671	9452	7507
1672	9458	7501
1673	9464	7496
1674	9469	7490
1675	9475	7485
1676	9481	7480
1677	9487	7474
1678	9493	7469
